EQ_80,EQ_240,EQ_2500,EQ_4000,EQ_10000,file
0.0,0.0,0.0,0.0,0.0,01_eq_bell1_240_+0.wav
0.0,12.0,0.0,0.0,0.0,01_eq_bell1_240_+12.wav
0.0,4.0,0.0,0.0,0.0,01_eq_bell1_240_+4.wav
0.0,8.0,0.0,0.0,0.0,01_eq_bell1_240_+8.wav
0.0,-12.0,0.0,0.0,0.0,01_eq_bell1_240_-12.wav
0.0,-4.0,0.0,0.0,0.0,01_eq_bell1_240_-4.wav
0.0,-8.0,0.0,0.0,0.0,01_eq_bell1_240_-8.wav
0.0,0.0,0.0,0.0,0.0,01_eq_bell2_2500_+0.wav
0.0,0.0,12.0,0.0,0.0,01_eq_bell2_2500_+12.wav
0.0,0.0,4.0,0.0,0.0,01_eq_bell2_2500_+4.wav
0.0,0.0,8.0,0.0,0.0,01_eq_bell2_2500_+8.wav
0.0,0.0,-12.0,0.0,0.0,01_eq_bell2_2500_-12.wav
0.0,0.0,-4.0,0.0,0.0,01_eq_bell2_2500_-4.wav
0.0,0.0,-8.0,0.0,0.0,01_eq_bell2_2500_-8.wav
0.0,0.0,0.0,0.0,0.0,01_eq_bell3_4000_+0.wav
0.0,0.0,0.0,12.0,0.0,01_eq_bell3_4000_+12.wav
0.0,0.0,0.0,4.0,0.0,01_eq_bell3_4000_+4.wav
0.0,0.0,0.0,8.0,0.0,01_eq_bell3_4000_+8.wav
0.0,0.0,0.0,-12.0,0.0,01_eq_bell3_4000_-12.wav
0.0,0.0,0.0,-4.0,0.0,01_eq_bell3_4000_-4.wav
0.0,0.0,0.0,-8.0,0.0,01_eq_bell3_4000_-8.wav
0.0,0.0,0.0,0.0,0.0,01_eq_hishelf_10000_+0.wav
0.0,0.0,0.0,0.0,12.0,01_eq_hishelf_10000_+12.wav
0.0,0.0,0.0,0.0,4.0,01_eq_hishelf_10000_+4.wav
0.0,0.0,0.0,0.0,8.0,01_eq_hishelf_10000_+8.wav
0.0,0.0,0.0,0.0,-12.0,01_eq_hishelf_10000_-12.wav
0.0,0.0,0.0,0.0,-4.0,01_eq_hishelf_10000_-4.wav
0.0,0.0,0.0,0.0,-8.0,01_eq_hishelf_10000_-8.wav
0.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_+0.wav
12.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_+12.wav
4.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_+4.wav
8.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_+8.wav
-12.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_-12.wav
-4.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_-4.wav
-8.0,0.0,0.0,0.0,0.0,01_eq_loshelf_80_-8.wav
