EQ_80,EQ_240,EQ_2500,EQ_4000,EQ_10000,file
-12,-12,-12,-12,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_-12.wav
-12,-12,-12,-12,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_-4.wav
-12,-12,-12,-12,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_-8.wav
-12,-12,-12,-12,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_0.wav
-12,-12,-12,-12,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_12.wav
-12,-12,-12,-12,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_4.wav
-12,-12,-12,-12,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-12_hishelf_8.wav
-12,-12,-12,-4,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_-12.wav
-12,-12,-12,-4,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_-4.wav
-12,-12,-12,-4,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_-8.wav
-12,-12,-12,-4,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_0.wav
-12,-12,-12,-4,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_12.wav
-12,-12,-12,-4,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_4.wav
-12,-12,-12,-4,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-4_hishelf_8.wav
-12,-12,-12,-8,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_-12.wav
-12,-12,-12,-8,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_-4.wav
-12,-12,-12,-8,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_-8.wav
-12,-12,-12,-8,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_0.wav
-12,-12,-12,-8,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_12.wav
-12,-12,-12,-8,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_4.wav
-12,-12,-12,-8,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_-8_hishelf_8.wav
-12,-12,-12,0,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_-12.wav
-12,-12,-12,0,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_-4.wav
-12,-12,-12,0,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_-8.wav
-12,-12,-12,0,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_0.wav
-12,-12,-12,0,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_12.wav
-12,-12,-12,0,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_4.wav
-12,-12,-12,0,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_0_hishelf_8.wav
-12,-12,-12,12,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_-12.wav
-12,-12,-12,12,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_-4.wav
-12,-12,-12,12,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_-8.wav
-12,-12,-12,12,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_0.wav
-12,-12,-12,12,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_12.wav
-12,-12,-12,12,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_4.wav
-12,-12,-12,12,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_12_hishelf_8.wav
-12,-12,-12,4,-12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_-12.wav
-12,-12,-12,4,-4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_-4.wav
-12,-12,-12,4,-8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_-8.wav
-12,-12,-12,4,0,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_0.wav
-12,-12,-12,4,12,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_12.wav
-12,-12,-12,4,4,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_4.wav
-12,-12,-12,4,8,01_eq_loshelf_-12_bell1_-12_bell2_-12_bell3_4_hishelf_8.wav
